File Name,Test Input,Output Clone 1,Output Clone 2,Are Outputs Similar
Clone_1.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1000.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1000.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1000.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1001.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1001.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1001.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1030.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1030.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1030.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1510.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1510.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1510.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1511.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1511.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1511.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1512.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1512.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1512.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1847.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1847.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1847.c,"100
200",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1848.c,"5
10",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
Clone_1848.c,"20
30",Execution Error: 'tuple' object has no attribute 'encode',Execution Error: 'tuple' object has no attribute 'encode',True
